SCAN_NO_TECH	{未安装扫描技术<IMG>SLASH<>}
GAMEMODE_TITLE	{游戏模式}
GAMEMODE_NORMAL_DESC	{常规游戏模式，适中的难度，标准的技术和建造花费。}
GAMEMODE_SURVIVAL_DESC	{生存模式，有限的资源，更多的危险，更强更好斗的敌人。}
GAMEMODE_CREATIVE_DESC	{满足你的创造力与建造技术，无限的生命值与资源，建筑花销为零。
自由模式中将不会解锁奖杯。}
GAMEMODE_HAS_SAVE	{最近一次存档}
GAMEMODE_NO_SAVE	{无存档数据}
GAMEMODE_NO_SAVE_ALT	{开始新游戏}
GAMEMODE_HELP_SELECT	{按住 <IMG>GMSEL<> 选择并继续}
GAMEMODE_HELP_RESTART	{按住 <IMG>GMRESTART<> 放弃存档数据并开始新游戏}
GAMEMODE_HELP_DISCARD	{按住 <IMG>GMRESTART<> 放弃保存数据}
GAMEMODE_RESTART_CHECK	{你确定吗？当前的存档数据将永久丢失。}
BASEBUILD_LIMIT_REACHED	{无法建造<IMG>SLASH<>已达建造上限}
BASEBUILD_OUT_OF_RANGE	{无法制作<IMG>SLASH<>基地超出范围}
BASEBUILD_WIRE_TOO_LONG	{无法建造<IMG>SLASH<>连接过长}
BASEBUILD_INSUFFRESOURCES	{无法制作<IMG>SLASH<>缺少部件}
BASEBUILD_INVALID_POS	{无法制作<IMG>SLASH<>该位置不可用}
BASEBUILD_INVALID_POS_BUILDING	{无法建造<IMG>SLASH<>需连接建筑物}
BASEBUILD_INVALID_POS_TERRAIN	{无法建造<IMG>SLASH<>需放置于地形上}
BASEBUILD_INVALID_PERMISSIONS	{无法建造<IMG>SLASH<>无编辑许可}
TERRAIN_INVALID_PERMISSIONS	{无法改变地形<IMG>SLASH<>无编辑许可}
NOTICE_COMPILING_SHADERS	{正在载入着色器......}
BUILD_GROUP_CUBES	{矩形屋}
BUILD_GROUP_DECALS	{贴标}
GAMEMODE_CONT_SAVE	{继续游戏}
OPTS_REVERT_TO_OLDEST	{重新载入最早 [ %TIMESTAMP% ]}
OPTS_NO_OLDEST_SAVE	{先前：无数据}
GAMEMODE_RESTART_TITLE	{警告}
GAMEMODE_RESTART_HELP_A	{按住 <IMG>GMRESTART<> 继续并删除已存档数据}
GAMEMODE_RESTART_HELP_B	{或按下 <IMG>GMCAN<> 取消并返回游戏模式选择}
PC_GRAPHICS_TAA_LOW	{TAA（低）}
PC_GRAPHICS_TAA	{TAA}
PC_GRAPHICS_TAA_ULTRA	{TAA（高）}
PC_GRAPHICS_TAA_FXAA	{TAA+FXAA}
PC_GRAPHICS_SSAA4_FXAA	{SSAA4+FXAA}
CTRL_BTN_EXIT_VEHICLE	{离开强化艇}
CTRL_BTN_BOOST_VEHICLE	{推进器}
CTRL_BTN_JUMP_VEHICLE	{跳跃}
PC_GRAPHICS_MBLUR_QUALITY	{动态模糊质量}
INTERACTION_COST_TECH	{需要%TECH%}
BUGGY	{ATV}
CHEST	{储存箱}
GAMEMODE_STATUS_DEL_OK	{数据已成功删除}
GAMEMODE_STATUS_DEL_FAIL	{错误：无法删除数据（%ERRCODE%）}
GAMEMODE_STATUS_DEL_UNK	{未知错误}
GAMEMODE_STATUS_INPRO	{进行中......}
GAMEMODE_STATUS_WAIT	{请等待}
BUILD_MENU_ACTION_DELETE	{<IMG>QUICK_ACTION<> 删除}
BUILD_CONTROLS	{%ACTION_PROMPT% <IMG>BUILD_ROTATE<> 旋转 <IMG>BUILD_DELETE<> 删除/变色模式 <IMG>QUICK_LEFT<>/<IMG>QUICK_RIGHT<>/<IMG>BUILD_SET_UP<>/<IMG>BUILD_SET_DOWN<> 选择}
BUILD_ACTION_PLACE	{<IMG>BUILD_PLACE<> 放置}
BUILD_ACTION_DELETE	{<IMG>BUILD_PLACE<> 删除}
INSTALL_TECH_COST	{%TECH% 已安装}
PLAYERBASE_MARKER	{你的基地}
BASEBUILD_OFFLINE	{阿特拉斯连接离线}
PHOTOMODE_WARN_TITLE	{触发移除平视显示器}
DLG_CONTINUE	{继续}
DLG_CANCEL	{取消}
PHOTO_FILTER_TITLE	{屏幕过滤}
PHOTO_FILTER_1	{默认滤镜}
PHOTO_FILTER_2	{漂白}
PHOTO_FILTER_3	{旁路}
PHOTO_FILTER_4	{烛光}
PHOTO_FILTER_5	{亮}
PHOTO_FILTER_6	{冷}
PHOTO_FILTER_7	{对比}
PHOTO_FILTER_8	{雾}
PHOTO_FILTER_9	{傍晚}
PHOTO_FILTER_10	{秋季}
PHOTO_FILTER_11	{电影}
PHOTO_FILTER_12	{蓝色}
PHOTO_FILTER_13	{绿色}
PHOTO_FILTER_14	{红色}
PHOTO_FILTER_15	{夜晚}
PHOTO_FILTER_16	{暗}
PHOTO_FILTER_17	{强}
PHOTO_FILTER_18	{琥珀}
PHOTO_FILTER_19	{复古}
PHOTO_FILTER_20	{古旧}
PHOTO_FILTER_21	{古典}
PHOTO_FILTER_22	{寒冷}
PHOTO_FILTER_23	{艺术}
PHOTO_FILTER_24	{生动}
PHOTO_FILTER_25	{老旧}
PHOTO_FILTER_26	{温暖}
PHOTO_FILTER_27	{隔离}
BASEBUILD_PLAYER_INSIDE	{无法建造<IMG>SLASH<>物体太过于接近}
BASEBUILD_PLAYER_INSIDE_ALT	{无法建造<IMG>SLASH<>物体太过于接近%NAME%}
BUILD_DELETE	{删除}
BUILD_COLOUR	{颜色}
BUILD_MENU_SELECT	{<IMG>QUICK_ACTION<> %ACTION%}
BASEBUILD_CANT_REMOVE	{不可移除}
BASEBUILD_WARN_LIMIT_GLOBAL	{限量为 %AMOUNT%}
BASEBUILD_WARN_LIMIT_BASE	{每个基地限量为 %AMOUNT%}
BASEBUILD_WARN_LIMIT_SYSTEM	{每个星系限量为 %AMOUNT%}
BASEBUILD_WARN_LIMIT_PLANET	{每个星球限量为 %AMOUNT%}
BASEBUILD_WARN_LIMIT_ROOM_UN	{%GROUP%每个房间限量为 %AMOUNT%}
BASEBUILD_COMPLEXITY	{基地复杂度：%AMOUNT%%}
INTRCT_TELEPORTER	{传送器}
BUILDING_BASE	{你的基地}
BASE_BUILDING_TERMINAL_TITLE	{基地获取主机<FUEL>（侦测到警告）<>}
SHIP_SCAN_PLANET	{按下 <IMG>SCAN<> 进行扫描}
MIN_SPEC_MEM_TITLE	{检测到随机存取记忆体不足}
MIN_SPEC_MEM_DESC	{《No Man’s Sky》运行的最低配置需要 8 GB 内存。
请前往 www.no-mans-sky.com 查看详情。}
MIN_SPEC_GPU_TITLE	{检测到不支持的图像芯片组}
MIN_SPEC_GPU_DESC	{您的显卡未达到最低配置要求。
请前往 www.no-mans-sky.com 查看详情。}
MIN_SPEC_CPU_TITLE	{检测到不支持的中央处理器}
MIN_SPEC_CPU_DESC	{您的中央处理器未达到最低配置要求。
请前往 www.no-mans-sky.com 查看详情。}
MIN_SPEC_GENERIC_TITLE	{未达到最低配置要求}
MIN_SPEC_GENERIC_DESC	{您的电脑配置未达到运行《No Man’s Sky》的最低配置要求。
请前往 www.no-mans-sky.com 查看详情。}
QUICK_MENU_CHARGE_FULL	{技术充能完毕}
QUICK_MENU_CANT_CHARGE	{无法充能}
QUICK_MENU_NO_FUEL	{没有燃料}
NOTICE_COMPILING_SHADERS_2	{正在载入着色器}
NEW_FREIGHTER_NAME	{货船}
BASEBUILD_INVALID_BIOME	{无法在户外种植<IMG>SLASH<>无效的生态群系}
BASEBUILD_BIOME_PLANT_HINT	{<STAT>在室内用水培盘种植，
若生物群系适宜也可种植于室外<>}
BASEBUILD_EXT_PLANT_HINT	{<STAT>只可种植于室外<>}
BASEBUILD_INT_PLANT_HINT	{<STAT>在室内用水培盘种植<>}
BASEBUILD_INVALID_SUBS	{需要资源点}
QUICK_MENU_CANT_REPAIR	{资源不足}
BASE_BUILDING_TERM_NEW_TEXT	{基地初始化已完成

当前家园星球：未设置
建造终端：未发现
科技终端：未发现
农业终端：未发现
武器终端：未发现

进一步的基地操作需要先安装建造终端。
终端和其他必需的建筑模块可以使用 <IMG>BUILD_MENU<> 建造。
终端必须配备人员才能工作。
专业人员可以在空间站招募。}
BASE_BUILDING_TERM_NEW_TITLE	{家园星球注册主机}
GRAPHICS_HDR_REQ	{启用 HDR（需 HDR 电视）}
INTRCT_CLAIM_BASE	{宜居基地}
BASEBUILD_SHIP_INSIDE	{无法建造<IMG>SLASH<>太靠近飞船}
GRAPHICS_MBLUR_AMOUNT	{动态模糊量}
CLAIM_BASE_CONFIRM_PROMT_TITLE	{你确定吗？}
CLAIM_BASE_CONFIRM_PROMT_TEXT	{如果你认领此基地，早前基地将被删除。
游戏将会被保存。
用于建造的资源，多数会返还并存储在物品库中。}
BUY_FREIGHTER_COMPLETE	{同意购买货船}
BUY_COMPARE_FREIGHTER_DESC	{对比并转移货船库存}
CURRENT_FREIGHTER_TITLE	{当前货船}
BLUEPRINT_AWARD_TITLE	{%SET_NAME%已获得 - %NUMBER% 物品已习得}
BLUEPRINT_AWARD_DECALS	{贴标}
BLUEPRINT_AWARD_CONTAINERS	{容器}
BLUEPRINT_AWARD_PARTS	{建筑配件}
QUICK_MENU_TIP_CHARGE	{为%ITEM_NAME%充能}
QUICK_MENU_TIP_REPAIR	{修理%ITEM_NAME%}
QUICK_MENU_TIP_GAL_MAP	{星系图}
QUICK_MENU_TIP_TOG_TORCH	{开关电筒}
QUICK_MENU_TIP_SUM_FRIEGHTER	{召集货船}
QUICK_MENU_TIP_CHARGE_WITH	{用%SUBSTANCE%为%ITEM_NAME%充能}
QUICK_MENU_TIP_CHARGE_SUBS	{用%SUBSTANCE%充能}
BUY_FREI_CONFIRM_PROMT_TEXT	{如果你购买此货船，当前的货船将被删除。
游戏将会被保存。
用于建造的资源，多数会返还并存储在物品库中。}
PREVIOUS_ITEM_CACHE	{早前基地物品库}
GRAPHICS_4K	{4K}
GRAPHICS_ENHANCED_FIDELTY	{强化保真}
GRAPHICS_HIGH_FRAMERATE	{高帧率}
GRAPHICS_HDR	{HDR}
OBJECTIVE_REMINDER_TIP	{按下 <IMG>SHOW_OBJECTIVE<> 查看当前的任务目标}
OPTIONS_SCREEN_BUILD_MENU	{建造菜单}
OPTIONS_SCREEN_QUICK_MENU	{快速菜单}
BASEBUILD_EXT_HINT	{只可安放在室外}
BASEBUILD_INT_HINT	{只可安放在室内}
BASEBUILD_LOCAL_LIMIT_REACHED	{当地区域限量为 %AMOUNT%}
HOME_PLANET	{家园星球}
STORAGE_CONTAINER_INV	{贮藏箱库存}
BUILD_MENU_COLOUR_TIP	{你可以通过建造菜单 <IMG>BUILD_MENU<> 对可建造物品重新上色。}
BUILD_MATERIAL	{材料}
TRANSFER_DESC_STORAGE	{将库存从套装转移至贮藏箱。}
TIME_REMAINING_BUSY	{忙碌}
TIME_REMAINING_RESEARCHING	{研究中}
TIME_REMAINING_HMS	{剩余 %HOURS%:%MINUTES%:%SECONDS%}
TAU_CLASS_TECH	{陶型技术}
SIGMA_CLASS_TECH	{西格玛型技术}
THETA_CLASS_TECH	{西塔型技术}
NEW_ADVANCED_TECH	{新的高级技术}
NEW_COMMON_TECH	{新的常见技术}
NEW_RARE_TECH	{新的稀有技术}
BUILD_MENU_CONTROLS_ROT	{<IMG>BUILD_PLACE<>  放置物体      <IMG>BUILD_ROT_ANLG<>  旋转       <IMG>BUILD_DELETE<>     材料/色彩     <IMG>QUICK_LEFT<>/<IMG>QUICK_RIGHT<>/<IMG>BUILD_SET_UP<>/<IMG>BUILD_SET_DOWN<>    导航    <IMG>BUILD_CAM<>  切换建筑视角}
BUILD_MENU_CONTROLS_ROT_ALT	{<IMG>BUILD_PLACE<> 放置物体     <IMG>BUILD_ROT_ANLG<>   旋转     <IMG>BUILD_DELETE<>    材料/色彩     <IMG>QUICK_LEFT<>/<IMG>QUICK_RIGHT<>/<IMG>BUILD_SET_UP<>/<IMG>BUILD_SET_DOWN<>    导航}
BUILD_MENU_NAVIGATE	{<IMG>BUILD_PLACE<>  选择   <IMG>BUILD_DELETE<>   删除/色彩      <IMG>QUICK_LEFT<>/<IMG>QUICK_RIGHT<>/<IMG>BUILD_SET_UP<>/<IMG>BUILD_SET_DOWN<>     导航     <IMG>BUILD_CAM<>切换建筑视角}
BUILD_MENU_NAVIGATE_ALT	{<IMG>BUILD_PLACE<>  选择   <IMG>BUILD_DELETE<>   删除/色彩      <IMG>QUICK_LEFT<>/<IMG>QUICK_RIGHT<>/<IMG>BUILD_SET_UP<>/<IMG>BUILD_SET_DOWN<>     导航}
BUILD_MENU_MATERIAL_NAVIGATE	{<IMG>BUILD_PLACE<> %ACTION%    <IMG>QUICK_LEFT<>/<IMG>QUICK_RIGHT<>/<IMG>BUILD_SET_UP<>/<IMG>BUILD_SET_DOWN<>导航}
UI_SELECT	{选择}
UI_PAINT	{着色}
UI_PLACE	{放置}
BUILD_MAT_RUSTED	{锈}
BUILD_MAT_STONE	{石头}
BUILD_MAT_WOOD	{木材}
BUILD_MAT_CONCRETE	{混凝土}
RELOAD_IMG	{重新装填 <IMG>RELOAD<>}
TIP_BASE	{<TITLE>宜居基地<>
认领家园星球}
HABITABLE_BASE	{宜居基地}
GAMEMODE_CREATIVE_DESC_PC	{满足你的创造力与建造技术，无限的生命值与资源，建筑花销为零。
自由模式中将不会解锁成就。}
NOT_BIG_PICTURE_TITLE	{大图模式中停止运行}
NOT_BIG_PICTURE_MSG	{Steam 在大图模式中已停止运行。

请在大图模式中重新启动并安装 Steam 控制器。}
UPDATE1_1_TITLE	{更新说明}
UPDATE1_1_NOTES	{由于补丁修复，您在游戏内的位置可能会因此而被调整。您的总体进度不会受到影响。

谢谢
Hello Games}
BUILD_MENU	{建造菜单}
QUICK_MENU	{快速菜单}
INTERACT_TALK	{交谈}
INTERACT_RECRUIT	{招募%ROLE%}
BUILD_MENU_NAV	{<IMG>QUICK_LEFT<>/<IMG>QUICK_RIGHT<>/<IMG>BUILD_SET_UP<>/<IMG>BUILD_SET_DOWN<> 驾驶}
SUB_BLUESYSTEM_NAME	{波根}
SUB_BLUESYSTEM_NAME_L	{波根}
SUB_BLUESYSTEM_DESC	{一种元素，只存在于蓝色恒星系中，通常位于大型矿床内部。}
SUB_BLUESYSTEM_SUBTITLE	{中性元素 - 稀有}
SUB_BLUESYSTEM_SYMBOL	{Cy}
SUB_REDSYSTEM_NAME	{鲁苯}
SUB_REDSYSTEM_NAME_L	{鲁苯}
SUB_REDSYSTEM_DESC	{一种元素，只存在于红色恒星系中，通常位于大型矿床内部。}
SUB_REDSYSTEM_SUBTITLE	{中性元素 - 稀有}
SUB_REDSYSTEM_SYMBOL	{Ru}
SUB_GREENSYSTEM_NAME	{微铱}
SUB_GREENSYSTEM_NAME_L	{微铱}
SUB_GREENSYSTEM_DESC	{一种元素，只存在于绿色恒星系，通常位于大型矿床内部。}
SUB_GREENSYSTEM_SUBTITLE	{中性元素 - 稀有}
SUB_GREENSYSTEM_SYMBOL	{Vi}
SUB_TOXICPLANT_NAME	{酞镅}
SUB_TOXICPLANT_NAME_L	{酞镅}
SUB_TOXICPLANT_DESC	{一种化学元素，仅存在于毒性生态群系中的真菌菌褶中。}
SUB_TOXICPLANT_SUBTITLE	{中性元素 - 稀有}
SUB_TOXICPLANT_SYMBOL	{Te}
SUB_SNOWPLANT_NAME	{恪根}
SUB_SNOWPLANT_NAME_L	{恪根}
SUB_SNOWPLANT_DESC	{一种化学元素，仅存在于生长在多雪生态群系中抗冻的中型植物枝叶中。}
SUB_SNOWPLANT_SUBTITLE	{中性元素 - 稀有}
SUB_SNOWPLANT_SYMBOL	{Co}
SUB_RADIOACTIVEPLANT_NAME	{炙钼}
SUB_RADIOACTIVEPLANT_NAME_L	{炙钼}
SUB_RADIOACTIVEPLANT_DESC	{一种化学元素，存在于放射性生态群系中的树根中。}
SUB_RADIOACTIVEPLANT_SUBTITLE	{中性元素 - 稀有}
SUB_RADIOACTIVEPLANT_SYMBOL	{Cn}
SUB_BARRENPLANT_NAME	{瘠钼}
SUB_BARRENPLANT_NAME_L	{瘠钼}
SUB_BARRENPLANT_DESC	{一种化学元素，自然生长于贫瘠性生态群系中的仙人掌刺和表皮中。}
SUB_BARRENPLANT_SUBTITLE	{中性元素 - 稀有}
SUB_BARRENPLANT_SYMBOL	{Sp}
SUB_SCORCHEDPLANT_NAME	{炽钼}
SUB_SCORCHEDPLANT_NAME_L	{炽钼}
SUB_SCORCHEDPLANT_DESC	{一种化学元素，可以从生长于灼热生态群系的大型塔尖树树皮中收获。}
SUB_SCORCHEDPLANT_SUBTITLE	{中性元素 - 稀有}
SUB_SCORCHEDPLANT_SYMBOL	{Fr}
SUB_CAVEPLANT_NAME	{靓钼}
SUB_CAVEPLANT_NAME_L	{靓钼}
SUB_CAVEPLANT_DESC	{一种化学元素，存在于山洞中的发光植物的明亮枝叶中。}
SUB_CAVEPLANT_SUBTITLE	{中性元素 - 稀有}
SUB_CAVEPLANT_SYMBOL	{An}
SUB_UNDERWATERPLANT_NAME	{钻根}
SUB_UNDERWATERPLANT_NAME_L	{钻根}
SUB_UNDERWATERPLANT_DESC	{一种化学元素，存在于某种水下植物的树根中。}
SUB_UNDERWATERPLANT_SUBTITLE	{中性元素 - 稀有}
SUB_UNDERWATERPLANT_SYMBOL	{Ri}
SUB_DEADCREATURE_NAME	{腐藤}
SUB_DEADCREATURE_NAME_L	{腐藤}
SUB_DEADCREATURE_DESC	{一种合成物，可以在某种尸体中生长。}
SUB_DEADCREATURE_SUBTITLE	{中性元素 - 稀有}
SUB_DEADCREATURE_SYMBOL	{Mo}
SUB_CREATUREPOOP_NAME	{鬼粪}
SUB_CREATUREPOOP_NAME_L	{鬼粪}
SUB_CREATUREPOOP_DESC	{一种固体水晶混合物，可以从某些物种的粪便中收获。可喂养后促进鬼粪球的形成。}
SUB_CREATUREPOOP_SUBTITLE	{中性元素 - 稀有}
SUB_CREATUREPOOP_SYMBOL	{Cr}
SUB_DEADDRONE_NAME	{普茵}
SUB_DEADDRONE_NAME_L	{普茵}
SUB_DEADDRONE_DESC	{这种油腻、令人不安的液体从<SPECIAL>护卫<>的电路中渗漏出来。

受<FUEL>维吉恩<>广泛称赞的普茵与<TECHNOLOGY>纳米星团<>在一些本质上有异曲同工之妙。它与有机物接触时会发出诡异的嗡嗡声。}
SUB_DEADDRONE_SUBTITLE	{异常材料}
SUB_DEADDRONE_SYMBOL	{Pg}
SUB_DEADSHIP_NAME	{特茵}
SUB_DEADSHIP_NAME_L	{特茵}
SUB_DEADSHIP_DESC	{一种稀有元素，从被击溃的飞船引擎中释放出。}
SUB_DEADSHIP_SUBTITLE	{中性元素 - 稀有}
SUB_DEADSHIP_SYMBOL	{Tr}
NOTIFY_GOTO_PLANET_BASE	{<TITLE>认领家园星球<>
前往任意星球中的无主基地。}
NOTIFY_CLAIM_PLANET_BASE	{<TITLE>认领家园星球<>
使用建筑内部的终端来认领基地
让这里成为你的家园星球。}
NOTIFY_BUILD_PLANET_CORR	{<TITLE>家园星球基地<>
建造一个<TRADEABLE>直线形走廊<>。
你能通过 <IMG>BUILD_MENU<> 进入建造菜单。}
NOTIFY_BUILD_PLANET_ROOM	{<TITLE>家园星球基地<>
建造一个<TRADEABLE>圆柱形房间<>。
你能通过 <IMG>BUILD_MENU<> 进入建造菜单。}
NOTIFY_BUILD_PLANET_BUILER_NPC	{<TITLE>家园星球基地<>
添加一个<TRADEABLE>建造终端<>，必须由监督者操作。}
NOTIFY_LEAVE_BUILDSIGNAL	{<TITLE>信号增强器<>
建造并启动<TRADEABLE>信号增强器<>
以定位有价值的区域。
你能通过 <IMG>BUILD_MENU<> 进入建造菜单。}
NOTIFY_BUILD_PLANET_NPC_HIRE	{<TITLE>家园星球基地<>
从空间站雇用一个<TRADEABLE>建造师<>。}
NOTIFY_GOTO_CAPTAIN	{<TITLE>太空战斗<>
降落在主货船，与<HIGHLIGHT>指挥官<>交谈。}
NOTIFY_GOTO_CAPTAIN2	{<TITLE>太空战斗<>
前往舰桥，与<HIGHLIGHT>指挥官<>交谈。}
NOTIFY_GOTO_CAPTAIN3	{<TITLE>太空战斗<>
与<HIGHLIGHT>指挥官<>交谈。}
NOTIFY_BATTLE_BADDY	{<TITLE>太空战斗<>
袭击货船夺取货物
护卫飞船将于<RED>%SECONDS%s<>后抵达}
NOTIFY_SPACE_BATTLE	{<TITLE>太空战斗<>
侦测到星系冲突
货船遭到了飞船的攻击
拯救货船获取奖励
或趁其不备窃取货物}
FREIGHTER_CAP_TITLE_1	{船长}
FREIGHTER_CAP_TITLE_2	{上将}
FREIGHTER_CAP_TITLE_3	{指挥官}
NOTIFY_FREIGHTER_TITLE	{货船优势}
NOTIFY_BOUGHT_FREIGHTER	{货船提供额外的<STELLAR>库存空间<>
货船机库可停靠<STELLAR>额外飞船<>
从舰桥指挥<STELLAR>远征<>}
NOTIFY_QUICK_MENU	{按下 <IMG>QUICK_MENU<>，可随时打开快速菜单。}
NOTIFY_BATTLE_BADDY2	{<TITLE>太空战斗<>
袭击货船夺取货物
逃离护卫飞船}
NOTIFY_BOUGHT_FREIGHTER_2	{<TITLE>货船福利<>
<SPECIAL>机库湾<>中购买的飞船可储存以备日后使用。
最多可同时停靠<SPECIAL>六<>艘飞船。}
BASE_BUILDING_TERM_AMBIENT	{基地初始化已完成。

进一步的基地操作需要先安装建造终端。
终端和其他必需的建筑模块可以使用 <IMG>BUILD_MENU<> 建造。
终端必须配备人员才能工作。
专业人员可以在空间站招募。

<FUEL>警告：<><RED>你当前正在环绕模式下游玩。认领此基地将覆盖你的自由模式存档。<>}
BASE_BUILDING_TERM_AMBIENT_TITL	{家园星球注册主机}
PS4_IO_NOTICE	{正在储存，请不要关闭主机}
PS4_IO_NOTICE_UPPER	{正在储存，请不要关闭主机}
PS4_IO_NOTICE_PARTIAL	{正在储存}
PS4_IO_NOTICE_ALT	{正在运行，请不要关闭主机}
GAMEMODE_SAVE_UNSUP	{存储功能关闭}
GAMEMODE_AMBIENT	{环绕}
GAMEMODE_AMBIENT_SUBTITLE	{视觉休闲体验}
GAMEMODE_AMBIENT_DESC	{通过平静而无限的镜头漫游，探索宇宙风光。}
QUICK_MENU_PHOTO_MODE	{相片模式}
PHOTO_MODE_CONTROLS	{<IMG>PHOTO_HIDE<> 隐藏菜单  <IMG>PHOTO_SUN<>  将太阳移至光标 <IMG>PHOTO_CAM<> 移动摄像头  <IMG>PHOTO_EXIT<> 退出相片模式}
AMBIENT_MODE_CONTROLS	{<IMG>AMBIENT_CAMERA<> 切换摄像头  <IMG>AMBIENT_PLANET<> 切换星球  <IMG>AMBIENT_SYSTEM<> 切换系统  <IMG>AMBIENT_PHOTO<> 相片模式  <IMG>AMBIENT_NXTSONG<> 下一首歌曲 <IMG>AMBIENT_SPAWN<> 在此开始自由模式}
IMAGE	{图片}
SCENE	{场景}
LENS	{镜头}
BRIGHTNESS	{亮度}
CONTRAST	{对比}
SATURATION	{饱和度}
EXPOSURE	{曝光度}
ASPECT_RATIO	{屏幕比例}
FOG_DIST	{雾距}
FOG_DENSITY	{雾密度}
TIME_OF_DAY	{时间}
CLOUD_LEVEL	{云高度}
LANDING_GEAR	{起落装置}
VIGNETTE	{晕影}
BLOOM	{图像模糊}
DEPTH_OF_FIELD	{景深}
FOCUS_MODE	{聚焦模式}
FOCAL_POINT	{焦点}
FIELD_OF_VIEW	{视野}
SSAO_HBAO	{屏幕空间环境光遮蔽/水平环境光遮蔽}
OPTION_REPORT	{举报过激或不当基地}
OPTIONS_REPORTCHECK	{请截屏显示过激或不当材料，以利修正。}
PHOTO_EDITCAM	{<IMG>PHOTO_CAM<>应用设置}
INTRCT_SAVE_DISABLED	{环绕模式中无法存档}
PHOTO_RESET	{恢复默认值}
PHOTO_CAMMODE_CONTROLS	{<IMG>PHOTO_SUN<> 移动太阳  <IMG>DIAMONDBULLET<>  <IMG>PHOTO_CAMDOWN<>/<IMG>PHOTO_CAMUP<> 变更高度  <IMG>DIAMONDBULLET<>  <IMG>PHOTO_CAMROLLLEFT<>/<IMG>PHOTO_CAMROLLRIGHT<> 倾斜  <IMG>DIAMONDBULLET<>  <IMG>PHOTO_CAM<> 调整效果

<IMG>PHOTO_CAPTURE<> 截屏 <IMG>DIAMONDBULLET<>  <IMG>PHOTO_HIDE<> 隐藏菜单  <IMG>DIAMONDBULLET<>  <IMG>PHOTO_EXIT<> 退出}
PHOTO_CAMMODE_CONTROLS_VR1	{<IMG>PHOTO_HIDE<> 隐藏菜单  <IMG>DIAMONDBULLET<>  <IMG>PHOTO_SUN<> 移动太阳  <IMG>DIAMONDBULLET<>  <IMG>PHOTO_CAMDOWN<>/<IMG>PHOTO_CAMUP<> 变更镜头高度}
PHOTO_CAMMODE_CONTROLS_VR2	{<IMG>PHOTO_CAM<> 变更设置  <IMG>DIAMONDBULLET<>  <IMG>PHOTO_CAPTURE<> 屏幕截图  <IMG>DIAMONDBULLET<>  <IMG>PHOTO_EXIT<> 退出相片模式}
GMAP_HOMESYSTEM	{家园系统}
GMAP_HOMESYSTEM_CAPS	{家园系统}
GMAP_HOMEBASE	{当前已认领基地}
GMAP_HOMEBASE_CAPS	{当前已认领基地}
GMAP_PLANET_BASE	{侦测到星球基地}
GMAP_PLANET_BASE_CAPS	{侦测到星球基地}
DISC_UI_SET_GMAP_WP	{设置银河航路点}
GMAP_DISC_WP	{发现航路点}
LOC_SIGNAL_CODE	{信号代码}
LOC_SIGNAL_CODE_CAPS	{信号代码}
BUILDING_OTHER_BASE	{%PLAYER%的基地}
SIGNAL_OTHER_BASE	{侦测到%PLAYER%的基地}
TIP_OTHER_BASE	{<TITLE>已收到%PLAYER%的基地信号<>
%PLAYER%的基地已定位。}
OPTION_HUD_ON	{平视显示器：开启}
OPTION_HUD_OFF	{平视显示器：关闭}
NOTIFY_BUILD_UPLOAD_BASE	{<TITLE>上传星球基地<>
你可以与其他玩家分享你的基地。
使用家园星球基地主机
上传你的基地。}
GAMEMODE_QUIT_SELECT	{退出至模式选择}
CAT_BUILDABLE	{可建造}
BASE_BUILDING_TERM_OWNED	{基地：可操作
当前家园星球：已定位

终端和其他必需的建筑模块可以使用 <IMG>BUILD_MENU<> 建造。
终端必须配备人员才能工作。
专业人员可以在空间站招募。}
BASE_BUILDING_TERM_OTHER	{作为访客登录。

基地：可操作
基地控制：受限
建筑权限：不可用}
BASE_BUILDING_TERM_FRIEND	{基地已注册到已知联系人。
作为<STELLAR>访客<>登录。

基地：运转中
基地控制：有限
建造许可：已解锁}
BASE_BUILDING_TERM_OWNED_TITLE	{家园星球基地主机}
BASE_BUILDING_TERM_OTHER_TITLE	{访客星球主机}
BASE_BUILDING_TERM_FRIEND_TITLE	{访客星球主机}
OPTION_HDR	{高动态范围成像}
OPTION_SSAO	{屏幕空间环境光遮蔽}
OPTION_HBAO	{水平环境光遮蔽}
OPTION_GTAO	{地面实况环境光遮蔽（GTAO）}
BASE_BUILDING_AMBIENT_TEXT	{认领并开启自由模式}
BASE_BUILDING_UPLOAD_TEXT	{上传基地}
BASE_BUILDING_DELETE_TEXT	{删除基地}
BASE_BUILDING_REPORT_TEXT	{举报此基地名称过激或不当}
BASE_BUILDING_REWARD_TEXT	{注册访问}
BASE_BUILDING_MESSAGE_TEXT	{设置欢迎语}
UI_SKIP_MSG_DISMISS	{<IMG>MSGSKIP<> 解除}
UI_SKIP_MSG_SKIP	{<IMG>MSGSKIP<> 跳过}
UI_SKIP_MSG_DISMISS_HOLD	{按住 <IMG>MSGSKIP<> 解除}
UI_SKIP_MSG_SKIP_HOLD	{按住 <IMG>MSGSKIP<> 跳过}
TAKE_SCREENSHOT	{屏幕截图}
TAKE_PHOTO	{照相}
NOTIFY_BUILD_UPLOAD_BASE_REMIND	{<TITLE>上传星球基地<>
你可以在对基地进行变更后
